add-secgroup,server add security group,Add a Security Group to a server.
agent-create,compute agent create,Create new agent build.
agent-delete,compute agent delete,Delete existing agent build.
agent-list,compute agent list,List all builds.
agent-modify,compute agent set,Modify existing agent build.
aggregate-add-host,aggregate add host,Add the host to the specified aggregate.
aggregate-cache-images,aggregate cache image,Request images be cached. (Supported by API versions '2.81' - '2.latest') [hint: use '-- os-compute-api-version' flag to show help message for proper version]
aggregate-create,aggregate create,Create a new aggregate with the specified details.
aggregate-delete,aggregate delete,Delete the aggregate.
aggregate-list,aggregate list,Print a list of all aggregates.
aggregate-remove-host,aggregate remove host,Remove the specified host from the specified aggregate.
aggregate-set-metadata,aggregate set / unset,Update the metadata associated with the aggregate.
aggregate-show,aggregate show,Show details of the specified aggregate.
aggregate-update,aggregate set / unset,Update the aggregate's name and optionally availability zone.
availability-zone-list,availability zone list,List all the availability zones.
backup,server backup create,Backup a server by creating a 'backup' type snapshot.
boot,server create,Boot a new server.
clear-password,server set --root-password,Clear the admin password for a server from the metadata server. This action does not actually change the instance server password.
console-log,console log show,Get console log output of a server.
delete,server delete,Immediately shut down and delete specified server(s).
diagnostics,openstack server show --diagnostics,Retrieve server diagnostics.
evacuate,server evacuate,Evacuate server from failed host.
flavor-access-add,flavor set --project,Add flavor access for the given tenant.
flavor-access-list,flavor show,Print access information about the given flavor.
flavor-access-remove,flavor unset,Remove flavor access for the given tenant.
flavor-create,flavor create,Create a new flavor.
flavor-delete,flavor delete,Delete a specific flavor
flavor-key,flavor set / unset --property,Set or unset extra_spec for a flavor.
flavor-list,flavor list,Print a list of available 'flavors'
flavor-show,flavor show,Show details about the given flavor.
flavor-update,flavor set --description,Update the description of an existing flavor. (Supported by API versions '2.55' - '2.latest') [hint: use '--os-compute-api-version' flag to show help message for proper version]
force-delete,server delete,Force delete a server.
get-mks-console,console url show --mks,Get an MKS console to a server. (Supported by API versions '2.8' - '2.latest') [hint: use ' --os-compute-api-version' flag to show help message for proper version]
get-password,WONTFIX,Get the admin password for a server. This operation calls the metadata service to query metadata information and does not read password information from the server itself.
